,SEQUENCE,POS,NLTK,CORENLP,SPACY,FLAIR,OPENNLP,STANZA
2641,"You can use the mint in cooking , as well as it serving a deterrent purpose .","PRP MD VB DT NN IN NN , RB RB IN PRP VBG DT NN NN .","PRP MD VB DT NN IN NN , RB RB IN PRP VBG DT NN NN .","PRP MD VB DT NN IN NN , RB RB IN PRP VBG DT JJ NN .","PRP MD VB DT NN IN NN , RB RB IN PRP VBG DT NN NN .","PRP MD VB DT NN IN NN , RB RB IN PRP VBG DT JJ NN .","PRP MD VB DT NN IN NN , RB RB IN PRP VBG DT JJ NN .","PRP MD VB DT NN IN NN , RB RB IN PRP VBG DT NN NN ."
2642,"The outfit he had chosen , khaki pants and a blue button - down shirt -- no tie -- lay neatly folded on the bed .","DT NN PRP VBD VBN , JJ NNS CC DT JJ NN HYPH RB NN : DT NN : VBP RB VBN IN DT NN .","DT NN PRP VBD VBN , JJ NNS CC DT JJ NN : RB NN : DT NN : VBD RB VBN IN DT NN .","DT NN PRP VBD VBN , NN NNS CC DT JJ NN HYPH NN NN : DT NN : VBD RB VBN IN DT NN .","DT NN PRP VBD VBN , NNP NNS CC DT JJ NN HYPH RP NN : DT NN : VBD RB VBN IN DT NN .","DT NN PRP VBD VBN , NN NNS CC DT JJ NN HYPH RP NN : DT NN : VBD RB VBN IN DT NN .","DT NN PRP VBD VBN , JJ NNS CC DT JJ NN : IN NN : DT NN : VBD RB VBN IN DT NN .","DT NN PRP VBD VBN , NN NNS CC DT JJ NN HYPH NN NN , DT NN , VBD RB VBN IN DT NN ."
2643,Socotra is considered the jewel of biodiversity in the Arabian Sea .,NNP VBZ VBN DT NN IN NN IN DT NNP NNP .,NNP VBZ VBN DT NN IN NN IN DT JJ NNP .,NNP VBZ VBN DT NN IN NN IN DT NNP NNP .,NNP VBZ VBN DT NN IN NN IN DT NNP NNP .,NNP VBZ VBN DT NN IN NN IN DT NNP NNP .,NNP VBZ VBN DT NN IN NN IN DT NNP NNP .,NNP VBZ VBN DT NN IN NN IN DT NNP NNP .
2644,This gives us the data to do a so - called survival analysis .,DT VBZ PRP DT NNS TO VB DT RB HYPH VBN NN NN .,DT VBZ PRP DT NNS TO VB DT RB : VBN JJ NN .,DT VBZ PRP DT NNS TO VB DT RB HYPH VBN NN NN .,DT VBZ PRP DT NNS TO VB DT RB HYPH VBN NN NN .,DT VBZ PRP DT NNS TO VB DT RB HYPH VBN NN NN .,DT VBZ PRP DT NNS TO VB DT RB : VBN NN NN .,DT VBZ PRP DT NNS TO VB DT RB HYPH VBN NN NN .
2645,I was a terrible vlogger today because I got home and just completely knocked so .,PRP VBD DT JJ NN NN IN PRP VBD RB CC RB RB VBD UH .,PRP VBD DT JJ NN NN IN PRP VBD NN CC RB RB VBN RB .,PRP VBD DT JJ NN NN IN PRP VBD RB CC RB RB VBN RB .,PRP VBD DT JJ NN NN IN PRP VBD RB CC RB RB VBD RB .,PRP VBD DT JJ NN NN IN PRP VBD RB CC RB RB VBD RB .,PRP VBD DT JJ NN NN IN PRP VBD NN CC RB RB VBN RB .,PRP VBD DT JJ NN NN IN PRP VBD RB CC RB RB VBD RB .
2646,"She looks up at me , at Renata .","PRP VBZ RB IN PRP , IN NNP .","PRP VBZ RP IN PRP , IN NNP .","PRP VBZ RP IN PRP , IN NNP .","PRP VBZ RP IN PRP , IN NNP .","PRP VBZ RP IN PRP , IN NNP .","PRP VBZ RP IN PRP , IN NNP .","PRP VBZ RP IN PRP , IN NNP ."
2647,"Later , we capture information about the methods of the SUT to be mutated , together with the information of the mutation operators that were already defined .","RBR , PRP VBP NN IN DT NNS IN DT NN TO VB VBN , RB IN DT NN IN DT NN NNS WDT VBD RB VBN .","RB , PRP VBP NN IN DT NNS IN DT NNP TO VB VBN , RB IN DT NN IN DT NN NNS WDT VBD RB VBN .","RB , PRP VBP NN IN DT NNS IN DT NNP TO VB VBN , RB IN DT NN IN DT NN NNS WDT VBD RB VBN .","RBR , PRP VBP NN IN DT NNS IN DT NN TO VB VBN , RB IN DT NN IN DT NN NNS WDT VBD RB VBN .","RBR , PRP VBP NN IN DT NNS IN DT NNP TO VB VBN , RB IN DT NN IN DT NN NNS WDT VBD RB VBN .","RB , PRP NN NN IN DT NNS IN DT NNP TO VB VBN , RB IN DT NN IN DT NN NNS WDT VBD RB VBN .","RBR , PRP VBP NN IN DT NNS IN DT NN TO VB VBN , RB IN DT NN IN DT NN NNS WDT VBD RB VBN ."
2648,I have a letter _,PRP VBP DT NN :,PRP VBP DT NN NN,PRP VBP DT NN :,PRP VBP DT NN .,PRP VBP DT NN UH,PRP VBP DT NN .,PRP VBP DT NN :
2649,I really wanted to do something with pearls and do an updo and then have really bronzy makeup .,PRP RB VBD TO VB NN IN NNS CC VB DT NN CC RB VBP RB JJ NN .,PRP RB VBD TO VB NN IN NNS CC VBP DT NN CC RB VBP RB JJ NN .,PRP RB VBD TO VB NN IN NNS CC VBP DT NN CC RB VBP RB JJ NN .,PRP RB VBD TO VB NN IN NNS CC VB DT NN CC RB VBP RB JJ NN .,PRP RB VBD TO VB NN IN NNS CC VB DT NN CC RB VB RB JJ NN .,PRP RB VBD TO VB NN IN NNS CC VBP DT RB CC RB VB RB JJ NN .,PRP RB VBD TO VB NN IN NNS CC VB DT NN CC RB VBP RB JJ NN .
2650,Likewise one can take the PHX skytrain over to the nearby 44th & Washington St Station to catch the #1 ( west to the downtown Central Station and Priest & Washington in Tempe to the east along Washington St ) ; #44 bus ( north to the Desert Ridge Marriott Resort in Deer Valley along N 44th St & Tatum ) ; and the light rail ( east to Tempe & Mesa and to Midtown ( along Central Ave ) via downtown in the other direction ) .,RB PRP MD VB DT NNP NN RB IN DT JJ NNP CC NNP NNP NNP TO VB DT CD -LRB- RB IN DT JJ NNP NNP CC NNP CC NNP IN NNP IN DT JJ IN NNP NNP -RRB- : CD NN -LRB- RB IN DT NNP NNP NNP NNP IN NNP NNP IN NNP NNP NNP CC NNP -RRB- : CC DT JJ NN -LRB- RB IN NNP CC NNP CC IN NNP -LRB- IN NNP NNP -RRB- IN NN IN DT JJ NN -RRB- .,RB CD MD VB DT NNP NN IN TO DT JJ CD CC NNP NNP NNP TO VB DT NNP ( JJS TO DT JJ NNP NNP CC NNP CC NNP IN NNP TO DT NN IN NNP NNP ) : VBN NN ( JJ TO DT NNP NNP NNP NNP IN NNP NNP IN NNP CD NNP CC NNP ) : CC DT JJ NN ( JJ TO NNP CC NNP CC TO NNP ( IN NNP NNP ) IN NN IN DT JJ NN ) .,RB PRP MD VB DT NN NN IN IN DT JJ NN CC NNP NNP NNP TO VB DT <UNK> -LRB- NN IN DT NN NNP NNP CC NNP CC NNP IN NNP IN DT NN IN NNP NNP -RRB- : <UNK> NN -LRB- NN IN DT NNP NNP NNP NNP IN NNS NNP IN NNP JJ NNP CC NNP -RRB- : CC DT NN NN -LRB- NN IN NNP CC NNP CC IN NNP -LRB- IN NNP NNP -RRB- IN NN IN DT JJ NN -RRB- .,RB PRP MD VB DT NNP VB RP IN DT JJ NN CC NNP NNP NNP TO VB DT <UNK> -LRB- NN IN DT NN NNP NNP CC NNP CC NNP IN NNP IN DT NN IN NNP NNP -RRB- : <UNK> NN -LRB- NN IN DT NNP NNP NNP NNP IN NNP NNP IN NNP JJ NNP CC NNP -RRB- : CC DT JJ NN -LRB- NN IN NNP CC NNP CC IN NNP -LRB- IN NNP NNP -RRB- IN NN IN DT JJ NN -RRB- .,"RB PRP MD VB DT NNP NN RB IN DT JJ JJ CC NNP NNP NNP TO VB DT <UNK> HYPH RB IN DT NN NNP NNP CC NNP CC NNP IN NNP IN DT NN IN NNP NNP : : <UNK> NN , RB IN DT NNP NNP NNP NNP IN NNP NNP IN NNP JJ NNP CC NNP -RRB- : CC DT JJ NN , RB IN NNP CC NNP CC IN NNP , IN NNP NNP -RRB- IN NN IN DT JJ NN -RRB- .",RB PRP MD VB DT NNP NN IN TO DT JJ IN CC NNP NNP NNP TO VB DT CD -LRB- NN TO DT NN NNP NNP CC NNP CC NNP IN NNP TO DT JJ IN NNP NNP -RRB- : CD NN -LRB- NN TO DT NNP NNP NNP NNP IN NNP NNP IN NNP IN NNP CC NNP -RRB- : CC DT NN NN -LRB- JJ TO NNP CC NNP CC TO NNP -LRB- IN JJ JJ -RRB- IN NN IN DT JJ NN -RRB- .,RB PRP MD VB DT NNP NN RB IN DT JJ NNP CC NNP NNP NNP TO VB DT <UNK> -LRB- RB IN DT NN NNP NNP CC NNP CC NNP IN NNP IN DT NN IN NNP NNP -RRB- : <UNK> NN -LRB- RB IN DT NNP NNP NNP NNP IN NNP NNP IN NNP NNP NNP CC NNP -RRB- : CC DT NN NN -LRB- RB IN NNP CC NNP CC IN NNP -LRB- IN NNP NNP -RRB- IN NN IN DT JJ NN -RRB- .
2651,"Tuesday , March 8 , 2011","NNP , NNP CD , CD","NNP , NNP CD , CD","NNP , NNP CD , CD","NNP , NNP CD , CD","NNP , NNP CD , CD","NNP , NNP CD , CD","NNP , NNP CD , CD"
2652,The memory that had caused him such pain over the years could not possibly have occurred .,DT NN WDT VBD VBN PRP JJ NN IN DT NNS MD RB RB VB VBN .,DT NN WDT VBD VBN PRP JJ NN IN DT NNS MD RB RB VB VBN .,DT NN WDT VBD VBN PRP JJ NN IN DT NNS MD RB RB VB VBN .,DT NN WDT VBD VBN PRP JJ NN IN DT NNS MD RB RB VB VBN .,DT NN WDT VBD VBN PRP JJ NN IN DT NNS MD RB RB VB VBN .,DT NN WDT VBD VBN PRP JJ NN IN DT NNS MD RB RB VB VBN .,DT NN WDT VBD VBN PRP JJ NN IN DT NNS MD RB RB VB VBN .
2653,"Exceptionally complex , cognition is an essential feature of human consciousness , yet not all aspects of cognition are consciously experienced .","RB JJ , NN VBZ DT JJ NN IN JJ NN , CC RB DT NNS IN NN VBP RB VBN .","RB JJ , NN VBZ DT JJ NN IN JJ NN , RB RB DT NNS IN NN VBP RB VBN .","RB JJ , NN VBZ DT JJ NN IN JJ NN , CC RB DT NNS IN NN VBP RB VBN .","RB JJ , NN VBZ DT JJ NN IN JJ NN , RB RB DT NNS IN NN VBP RB JJ .","RB JJ , NN VBZ DT JJ NN IN JJ NN , CC RB DT NNS IN NN VBP RB VBN .","RB JJ , NN VBZ DT JJ NN IN JJ NN , RB RB DT NNS IN NN VBP RB VBN .","RB JJ , NN VBZ DT JJ NN IN JJ NN , CC RB DT NNS IN NN VBP RB VBN ."
2654,"And with those mistakes would come death to billions of innocent , unsuspecting lives .","CC IN DT NNS MD VB NN IN NNS IN JJ , JJ NNS .","CC IN DT NNS MD VB NN TO NNS IN JJ , JJ NNS .","CC IN DT NNS MD VB NN IN NNS IN JJ , JJ NNS .","CC IN DT NNS MD VB NN IN NNS IN JJ , JJ NNS .","CC IN DT NNS MD VB NN IN NNS IN JJ , JJ NNS .","CC IN DT NNS MD VB NN TO NNS IN JJ , JJ NNS .","CC IN DT NNS MD VB NN IN NNS IN JJ , JJ NNS ."
2655,Remember you have school tomorrow . _,VB PRP VBP NN NN . '',NNP PRP VBP NN NN . NN,VB PRP VBP NN NN . '',VB PRP VBP NN NN . '',VB PRP VBP NN NN . NFP,VB PRP VBP NN NN . '',VB PRP VBP NN NN . ''
2656,"Serving as a global model for urban rebirth , Cleveland has been named one of the top 10 international visitor hotspots by Travel and Leisure magazine .","VBG IN DT JJ NN IN JJ NN , NNP VBZ VBN VBN CD IN DT JJ CD JJ NN NNS IN NNP CC NNP NN .","VBG IN DT JJ NN IN JJ NN , NNP VBZ VBN VBN CD IN DT JJ CD JJ NN NNS IN NNP CC NNP NN .","VBG IN DT JJ NN IN JJ NN , NNP VBZ VBN VBN CD IN DT JJ CD JJ NN NNS IN NN CC NNP NN .","VBG IN DT JJ NN IN JJ NN , NNP VBZ VBN VBN CD IN DT JJ CD JJ NN NNS IN NNP CC NNP NN .","VBG IN DT JJ NN IN JJ NN , NNP VBZ VBN VBN CD IN DT JJ CD JJ NN NNS IN NNP CC NNP NN .","NNP IN DT JJ NN IN JJ NN , NNP VBZ VBN VBN CD IN DT JJ CD JJ NN NNS IN NNP CC JJ NN .","VBG IN DT JJ NN IN JJ NN , NNP VBZ VBN VBN CD IN DT JJ CD JJ NN NNS IN NNP CC NNP NN ."
2657,"This town is comprised of a large residential community that includes Fort Lee natives , transplants from New York , and immigrants , especially from Korea .","DT NN VBZ VBN IN DT JJ JJ NN WDT VBZ NNP NNP NNS , NNS IN NNP NNP , CC NNS , RB IN NNP .","DT NN VBZ VBN IN DT JJ JJ NN WDT VBZ NNP NNP NNS , NNS IN NNP NNP , CC NNS , RB IN NNP .","DT NN VBZ VBN IN DT JJ JJ NN WDT VBZ NNP NNP NNS , NNS IN NNP NNP , CC NNS , RB IN NNP .","DT NN VBZ VBN IN DT JJ JJ NN WDT VBZ NNP NNP NNS , NNS IN NNP NNP , CC NNS , RB IN NNP .","DT NN VBZ VBN IN DT JJ JJ NN WDT VBZ NNP NNP NNS , NNS IN NNP NNP , CC NNS , RB IN NNP .","DT NN VBZ VBN IN DT JJ JJ NN WDT VBZ NNP NNP NNS , NNS IN NNP NNP , CC NNS , RB IN NNP .","DT NN VBZ VBN IN DT JJ JJ NN WDT VBZ NNP NNP NNS , NNS IN NNP NNP , CC NNS , RB IN NNP ."
2658,"So nice , thank you very much .","RB JJ , VBP PRP RB RB .","RB JJ , VB PRP RB RB .","RB JJ , VBP PRP RB RB .","RB JJ , VBP PRP RB RB .","RB JJ , VBP PRP RB RB .","RB JJ , VB PRP RB RB .","RB JJ , VBP PRP RB RB ."
2659,What qualifications do you have that will assist you in executing the duties of president ?,WDT NNS VBP PRP VB WDT MD VB PRP IN VBG DT NNS IN NN .,WP NNS VBP PRP VBP DT MD VB PRP IN VBG DT NNS IN NN .,WDT NNS VBP PRP VB DT MD VB PRP IN VBG DT NNS IN NN .,WDT NNS VBP PRP VB DT MD VB PRP IN VBG DT NNS IN NN .,WDT NNS VBP PRP VB WDT MD VB PRP IN VBG DT NNS IN NN .,WP NNS VBP PRP VB DT MD VB PRP IN VBG DT NNS IN NN .,WDT NNS VBP PRP VB WDT MD VB PRP IN VBG DT NNS IN NN .
2660,Next to the door was a tall wrought - iron candle holder _ the kind that stood at either end of the altar .,RB IN DT NN VBD DT JJ JJ HYPH NN NN NN : DT NN WDT VBD IN DT NN IN DT NN .,JJ TO DT NN VBD DT JJ NN : NN JJ NN VBD DT NN WDT VBD IN DT NN IN DT NN .,RB IN DT NN VBD DT JJ VBN HYPH NN NN NN : DT NN WDT VBD IN CC NN IN DT NN .,RB IN DT NN VBD DT JJ JJ HYPH NN NN NN : DT NN WDT VBD IN DT NN IN DT NN .,RB IN DT NN VBD DT JJ VBN HYPH NN NN NN `` DT NN WDT VBD IN DT NN IN DT NN .,JJ TO DT NN VBD DT JJ NN : NN NN NN IN DT NN IN VBD IN DT NN IN DT NN .,RB IN DT NN VBD DT JJ JJ HYPH NN NN NN : DT NN WDT VBD IN DT NN IN DT NN .
2661,I was wearing a yellow linen dress which my mother had picked out and which I therefore disliked although I knew it flattered me .,PRP VBD VBG DT JJ NN NN WDT PRP$ NN VBD VBN RP CC WDT PRP RB VBD IN PRP VBD PRP VBD PRP .,PRP VBD VBG DT JJ NN NN WDT PRP$ NN VBD VBN RP CC WDT PRP VBP JJ IN PRP VBD PRP VBD PRP .,PRP VBD VBG DT JJ NN NN WDT PRP$ NN VBD VBN RP CC WDT PRP RB VBD IN PRP VBD PRP VBD PRP .,PRP VBD VBG DT JJ NN NN WDT PRP$ NN VBD VBN RP CC WDT PRP RB VBD IN PRP VBD PRP VBD PRP .,PRP VBD VBG DT JJ NN NN WDT PRP$ NN VBD VBN RP CC WDT PRP RB VBD IN PRP VBD PRP VBD PRP .,PRP VBD VBG DT JJ NN NN WDT PRP$ NN VBD VBN RP CC WDT PRP RB VBD IN PRP VBD PRP VBD PRP .,PRP VBD VBG DT JJ NN NN WDT PRP$ NN VBD VBN RP CC WDT PRP RB VBD IN PRP VBD PRP VBD PRP .
2662,Gloria was finally taken to the emergency department shortly before her death .,NNP VBD RB VBN IN DT NN NN RB IN PRP$ NN .,NNP VBD RB VBN TO DT NN NN RB IN PRP$ NN .,NNP VBD RB VBN IN DT NN NN RB IN PRP$ NN .,NNP VBD RB VBN IN DT NN NN RB IN PRP$ NN .,NNP VBD RB VBN IN DT NN NN RB IN PRP$ NN .,NNP VBD RB VBN TO DT NN NN RB IN PRP$ NN .,NNP VBD RB VBN IN DT NN NN RB IN PRP$ NN .
2663,"For example , the TSM originally proposed to estimate brightness temperature at higher frequencies , uses the sea surface wave spectrum by multiplying a factor of 2 .","IN NN , DT NNP RB VBN TO VB NN NN IN JJR NNS , VBZ DT NN NN NN NN IN VBG DT NN IN CD .","IN NN , DT NNP RB VBD TO VB JJ NN IN JJR NNS , VBZ DT NN NN VBP VBN IN VBG DT NN IN CD .","IN NN , DT NNP RB VBD TO VB NN NN IN JJR NNS , VBZ DT NN NN NN NN IN VBG DT NN IN CD .","IN NN , DT NNP RB VBD TO VB NN NN IN JJR NNS , VBZ DT NN NN NN NN IN VBG DT NN IN CD .","IN NN , DT NNP RB VBD TO VB NN NN IN JJR NNS , VBZ DT NN NN NN NN IN VBG DT NN IN CD .","IN NN , DT NNP RB VBD TO VB NN NN IN JJR NNS , VBZ DT NN NN NN NN IN VBG DT NN IN CD .","IN NN , DT NNP RB VBN TO VB NN NN IN JJR NNS , VBZ DT NN NN NN NN IN VBG DT NN IN CD ."
2664,I used this in my last video but instead of going with the blues I went with these shades here and I love these together .,PRP VBD DT IN PRP$ JJ NN CC RB IN VBG IN DT NNS PRP VBD IN DT NNS RB CC PRP VBP DT RB .,PRP VBD DT IN PRP$ JJ NN CC RB IN VBG IN DT NNS PRP VBD IN DT NNS RB CC PRP VBP DT RB .,PRP VBD DT IN PRP$ JJ NN CC RB IN VBG IN DT NNS PRP VBD IN DT NNS RB CC PRP VBP DT RB .,PRP VBD DT IN PRP$ JJ NN CC RB IN VBG IN DT NNS PRP VBD IN DT NNS RB CC PRP VBP DT RB .,PRP VBD DT IN PRP$ JJ NN CC RB IN VBG IN DT NNS PRP VBD IN DT NNS RB CC PRP VBP DT RB .,PRP VBD DT IN PRP$ JJ NN CC RB IN VBG IN DT NNS PRP VBD IN DT NNS RB CC PRP VBP DT RB .,PRP VBD DT IN PRP$ JJ NN CC RB IN VBG IN DT NNS PRP VBD IN DT NNS RB CC PRP VBP DT RB .
2665,Religion,NN,NN,NNP,NN,NN,NNP,NN
2666,You should not wai service people or street vendors .,PRP MD RB VB NN NNS CC NN NNS .,PRP MD RB VB NN NNS CC NN NNS .,PRP MD RB VB NN NNS CC NN NNS .,PRP MD RB VB NN NNS CC NN NNS .,PRP MD RB VB NN NNS CC NN NNS .,PRP MD RB VB NN NNS CC NN NNS .,PRP MD RB VB NN NNS CC NN NNS .
2667,Twenty - nine .,CD HYPH CD .,NNP : CD .,CD HYPH CD .,CD HYPH CD .,CD HYPH CD .,CD : CD .,CD HYPH CD .
2668,"When that oath is taken , Senators are supposed to step back from the affiliation of party or political kinship with or opposition to the President on trial .","WRB DT NN VBZ VBN , NNS VBP VBN TO VB RB IN DT NN IN NN CC JJ NN IN CC NN IN DT NNP IN NN .","WRB DT NN VBZ VBN , NNS VBP VBN TO VB RB IN DT NN IN NN CC JJ NN IN CC NN TO DT NNP IN NN .","WRB DT NN VBZ VBN , NNPS VBP VBN TO VB RB IN DT NN IN NN CC JJ NN IN CC NN IN DT NNP IN NN .","WRB DT NN VBZ VBN , NNS VBP VBN TO VB RB IN DT NN IN NN CC JJ NN IN CC NN IN DT NNP IN NN .","WRB DT NN VBZ VBN , NNS VBP VBN TO VB RB IN DT NN IN NN CC JJ NN IN CC NN IN DT NNP IN NN .","WRB DT NN VBZ VBN , NNS VBP VBN TO VB RB IN DT NN IN NN CC JJ NN IN CC NN TO DT NNP IN NN .","WRB DT NN VBZ VBN , NNPS VBP VBN TO VB RP IN DT NN IN NN CC JJ NN IN CC NN IN DT NNP IN NN ."
2669,You get to walk through all these gardens and different types of roses from different parts of the world and yeah it was just really cool .,PRP VBP TO VB IN PDT DT NNS CC JJ NNS IN NNS IN JJ NNS IN DT NN CC UH PRP VBD RB RB JJ .,PRP VBP TO VB IN PDT DT NNS CC JJ NNS IN NNS IN JJ NNS IN DT NN CC VB PRP VBD RB RB JJ .,PRP VBP TO VB IN PDT DT NNS CC JJ NNS IN NNS IN JJ NNS IN DT NN CC UH PRP VBD RB RB JJ .,PRP VBP TO VB IN PDT DT NNS CC JJ NNS IN NNS IN JJ NNS IN DT NN CC UH PRP VBD RB RB JJ .,PRP VBP TO VB IN PDT DT NNS CC JJ NNS IN NNS IN JJ NNS IN DT NN CC UH PRP VBD RB RB JJ .,PRP VBP TO VB IN PDT DT NNS CC JJ NNS IN NNS IN JJ NNS IN DT NN CC NN PRP VBD RB RB JJ .,PRP VBP TO VB IN PDT DT NNS CC JJ NNS IN NNS IN JJ NNS IN DT NN CC UH PRP VBD RB RB JJ .
2670,"Like Wikipedia , wikiHow is a wiki that runs on Mediawiki software .","IN NNP , NNP VBZ DT NN WDT VBZ IN NNP NN .","IN NNP , NN VBZ DT NN WDT VBZ IN NNP NN .","IN NNP , NNP VBZ DT NN WDT VBZ IN NNP NN .","IN NNP , RB VBZ DT NN WDT VBZ IN NNP NN .","IN NNP , NNP VBZ DT NN WDT VBZ IN NNP NN .","IN NNP , NN VBZ DT NN WDT VBZ IN NNP NN .","IN NNP , NNP VBZ DT NN WDT VBZ IN NNP NN ."
2671,"In the 20th minute , Marcus Berg missed a chance to put Sweden in the lead .","IN DT JJ NN , NNP NNP VBD DT NN TO VB NNP IN DT NN .","IN DT JJ NN , NNP NNP VBD DT NN TO VB NNP IN DT NN .","IN DT JJ NN , NNP NNP VBD DT NN TO VB NNP IN DT NN .","IN DT JJ NN , NNP NNP VBD DT NN TO VB NNP IN DT NN .","IN DT JJ NN , NNP NNP VBD DT NN TO VB NNP IN DT NN .","IN DT JJ NN , NNP NNP VBD DT NN TO VB NNP IN DT NN .","IN DT JJ NN , NNP NNP VBD DT NN TO VB NNP IN DT NN ."
2672,Image : Nick Moreau .,NN : NNP NNP .,NN : NNP NNP .,NN : NNP NNP .,NN : NNP NNP .,NN : NNP NNP .,NNP : NNP NNP .,NN : NNP NNP .
2673,"We go through a number of drafts and then have the editors pick it up and assign the photojournalism aspect of it to our graphic design team , who adds the visual aspect to it .","PRP VBP IN DT NN IN NNS CC RB VBP DT NNS VB PRP RP CC VB DT NN NN IN PRP IN PRP$ JJ NN NN , WP VBZ DT JJ NN IN PRP .","PRP VBP IN DT NN IN NNS CC RB VB DT NNS VBP PRP RP CC VB DT NN NN IN PRP TO PRP$ JJ NN NN , WP VBZ DT JJ NN TO PRP .","PRP VBP IN DT NN IN NNS CC RB VBP DT NNS VBP PRP RP CC VB DT NN NN IN PRP IN PRP$ JJ NN NN , WP VBZ DT JJ NN IN PRP .","PRP VBP IN DT NN IN NNS CC RB VB DT NNS VB PRP RP CC VB DT NN NN IN PRP IN PRP$ JJ NN NN , WP VBZ DT JJ NN IN PRP .","PRP VBP IN DT NN IN NNS CC RB VBP DT NNS VB PRP RP CC VB DT NN NN IN PRP IN PRP$ JJ NN NN , WP VBZ DT JJ NN IN PRP .","PRP VBP IN DT NN IN NNS CC RB VBP DT NNS VBP PRP RP CC VB DT NN NN IN PRP TO PRP$ JJ NN NN , WP VBZ DT JJ NN TO PRP .","PRP VBP IN DT NN IN NNS CC RB VBP DT NNS VB PRP RP CC VB DT NN NN IN PRP IN PRP$ JJ NN NN , WP VBZ DT JJ NN IN PRP ."
2674,It means the ending of poverty and ignorance and poverty and disease and inequality of opportunity .,PRP VBZ DT NN IN NN CC NN CC NN CC NN CC NN IN NN .,PRP VBZ DT VBG IN NN CC NN CC NN CC NN CC NN IN NN .,PRP VBZ DT NN IN NN CC NN CC NN CC NN CC NN IN NN .,PRP VBZ DT NN IN NN CC NN CC NN CC NN CC NN IN NN .,PRP VBZ DT NN IN NN CC NN CC NN CC NN CC NN IN NN .,PRP VBZ DT VBG IN NN CC NN CC NN CC NN CC NN IN NN .,PRP VBZ DT NN IN NN CC NN CC NN CC NN CC NN IN NN .
2675,Superstars,NNS,NNS,NNS,NNS,NNS,NNS,NNS
2676,"Every time the elevator reaches a new floor , say _ ding ! _ very loudly .","DT NN DT NN VBZ DT JJ NN , VB `` UH . '' RB RB .","DT NN DT NN VBZ DT JJ NN , VBP JJ NN . JJ RB RB .","DT NN DT NN VBZ DT JJ NN , VBP `` FW . '' RB RB .","DT NN DT NN VBZ DT JJ NN , VB `` JJ . '' RB RB .","DT NN DT NN VBZ DT JJ NN , VB `` NN . '' RB RB .","DT NN DT NN VBZ DT JJ NN , VBP UH VBG . . RB RB .","DT NN DT NN VBZ DT JJ NN , VB `` UH . '' RB RB ."
2677,"For example , pollution may result from attempts to game the systems put in place to track expertise .","IN NN , NN MD VB IN NNS TO VB DT NNS VBN IN NN TO VB NN .","IN NN , NN MD VB IN NNS TO NN DT NNS VBN IN NN TO VB NN .","IN NN , NN MD VB IN NNS TO VB DT NNS VBN IN NN TO VB NN .","IN NN , NN MD VB IN NNS TO VB DT NNS VBN IN NN TO VB NN .","IN NN , NN MD VB IN NNS TO VB DT NNS VBN IN NN TO VB NN .","IN NN , NN MD VB IN NNS TO NN DT NNS VBN IN NN TO VB NN .","IN NN , NN MD VB IN NNS TO VB DT NNS VBN IN NN TO VB NN ."
2678,His waist shrunk from dangerously obese to barely jolly .,PRP$ NN VBD IN RB JJ IN RB JJ .,PRP$ NN NN IN RB JJ TO RB RB .,PRP$ NN VBD IN RB JJ IN RB RB .,PRP$ NN VBD IN RB JJ TO RB RB .,PRP$ NN VBD IN RB JJ IN RB JJ .,PRP$ NN NN IN RB JJ TO RB RB .,PRP$ NN VBD IN RB JJ IN RB JJ .
2679,_ Pretty ! _,`` JJ . '',JJ NNP . NN,`` RB . '',`` NNP . '',NFP JJ . '',NN NNP . .,`` RB . ''
2680,_ The Free Society is fragile .,`` DT NNP NNP VBZ JJ .,IN DT NNP NNP VBZ JJ .,`` DT NNP NNP VBZ JJ .,`` DT NNP NNP VBZ JJ .,`` DT NNP NNP VBZ JJ .,IN DT NNP NNP VBZ JJ .,`` DT NNP NNP VBZ JJ .
2681,Practicing your joke is crucial .,VBG PRP$ NN VBZ JJ .,VBG PRP$ NN VBZ JJ .,VBG PRP$ NN VBZ JJ .,VBG PRP$ NN VBZ JJ .,VBG PRP$ NN VBZ JJ .,VBG PRP$ NN VBZ JJ .,VBG PRP$ NN VBZ JJ .
2682,Hi guys !,UH NNS .,NNP NNS .,UH NNS .,UH NNS .,UH NNS .,UH NNS .,UH NNS .
