,sequence,pos,nltk,corenlp,opennlp,spacy,flair
2216,many related manager,JJ JJ NN,JJ JJ NN,JJ NN NN,JJ VBN NN,JJ JJ NN,DT JJ NN
2217,reference,NN,NN,NN,NN,NN,NN
2218,table,NN,NN,NN,NN,NN,NN
2219,table columns,NN NNS,NN NNS,VB NNS,JJ NNS,VB NNS,VB NNS
2220,columns,NNS,VB,NNS,NNS,NNS,NNS
2221,index name,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2222,index columns,NN NNS,NN NNS,VB NNS,VB NNS,VB NN,NN NNS
2223,foreign key name,JJ NN NN,JJ NN NN,VB NN NN,VB NN NN,JJ NN NN,JJ NN NN
2224,statement,NN,NN,NN,NN,NN,NN
2225,expressions,NNS,NNS,VB,VB,NNS,NNS
2226,cursor wrapper,NN NN,VB NN,VB NN,VB NN,NN NN,NN NN
2227,cursor debug wrapper,NN VB NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN,NN NN NN
2228,database creation,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
2229,database features,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
2230,flexible field lookup dict,JJ NN NN NN,JJ NN NN NN,VB NN NN NN,JJ NN NN JJ,VB NN NN NN,JJ NN NN NN
2231,database introspection,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
2232,list aggregate,NN NN,VB NN,VB JJ,VB JJ,VB NN,VB JJ
2233,std dev pop,NN NN NN,VB NN NN,JJ NN VB,JJ NN NN,JJ NN NN,JJ NN NN
2234,std dev samp,NN NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN,NNP NN NN
2235,var pop,NN NN,VB NN,NN VB,NN NN,NN NN,NN NN
2236,var samp,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
2237,database operations,NN NNS,VB NNS,NN NNS,NN NNS,NN NNS,NN NNS
2238,database wrapper,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
2239,sq lite cursor wrapper,NNP JJ NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,FW NN NN NN
2240,database client,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2241,database schema editor,NN NN NN,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2242,interval to seconds,NN TO NNPS,VB TO NNS,NN TO NNS,NN TO NNS,VB TO NNS,NN TO NNS
2243,seconds to interval,NNS TO NN,VBZ TO NN,NNS TO NN,NNS TO NN,NNS TO NN,NNS TO NN
2244,uninitialized operators descriptor,JJ NNS NN,VBN NNS NN,VB NN NN,VBN NNS NN,VBN NNS NN,JJ NNS NN
2245,oracle param,NNP NN,VB NN,VB NN,VB NN,JJ NN,NNP NN
2246,variable wrapper,JJ NN,JJ NN,NN NN,NN NN,NN NN,JJ NN
2247,format style placeholder cursor,NN NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,NN NN NN NN
2248,database validation,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
2249,insert var,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2250,oracle datetime,NNP NN,NN NN,VB NN,VB NN,NN NN,NN NN
2251,bulk insert mapper,JJ NN NN,NN VB NN,NN NN NN,VB VB NN,NN VB NN,NN VB NN
2252,base database creation,JJ NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2253,base database features,JJ NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS
2254,base database introspection,JJ NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2255,base database operations,JJ NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS
2256,base database wrapper,JJ NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2257,base database validation,JJ NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2258,base database client,JJ NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2259,base database schema editor,JJ NN NN NN,NN NN NN NN,NN NN NN NN,VB NN NN NN,NN NN NN NN,NN NN NN NN
2260,dummy database features,JJ NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,JJ NN NNS
2261,base tz loader,JJ NNP NN,NN NN NN,NN NN NN,NN NN NN,NN TO NN,NN NN NN
2262,specific tz loader,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ CD NN,JJ NN NN
2263,django range dumper,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,NNP NN NN
2264,isolation level,NN NN,NN NN,VB NN,VBZ NN,NN NN,NN NN
2265,jsonb,NNP,NNP,VB,NNP,VB,NNP
2266,cursor mixin,NN NN,VB NN,VB NN,VB NN,NN NNS,NN NN
2267,server binding cursor,NN NN NN,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN VBG NN
2268,cursor,NN,NN,VB,VB,NN,NN
2269,server side cursor,NN NN NN,VB NN NN,NN JJ NN,NN NN NN,NN NN NN,NN NN NN
2270,dummy node,JJ NN,VB NN,VB NN,VB NN,VB NN,NN NN
2271,migration graph,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2272,operation writer,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2273,migration writer,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2274,migration recorder,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2275,migration,NN,NN,NN,NN,NN,NN
2276,meta,NNP,NN,NN,NN,NNS,NN
2277,ambiguity error,NN NN,NN NN,VB NN,VB NN,NN NN,NN NN
2278,bad migration error,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2279,circular dependency error,JJ NN NN,JJ NN NN,VB NN NN,JJ NN NN,VB NN NN,JJ NN NN
2280,inconsistent migration history,JJ NN NN,JJ NN NN,VB NN NN,NN NN NN,JJ NN NN,JJ NN NN
2281,invalid bases error,JJ NNS NN,VB NNS NN,JJ NN NN,JJ NNS NN,JJ NNS NN,JJ NNS NN
2282,irreversible error,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
2283,node not found error,NN RB VBN NN,NN RB VBN NN,NN RB VBN NN,NN RB VBN NN,NN RB VBN NN,NN RB VBN NN
2284,migration schema missing,NN NN VBG,NN NN VBG,NN NN VBG,NN NN JJ,NN NN JJ,NN NN VBG
2285,invalid migration plan,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2286,migration executor,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2287,project state,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2288,app config stub,NN NN NN,VB NN NN,NN NN NN,VB NN NN,NN NN NN,NNP NN NN
2289,state apps,NN NNS,NN NN,NN VBN,NN NNS,NN NN,NN NNS
2290,migration loader,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2291,migration questioner,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2292,interactive migration questioner,JJ NN NN,JJ NN NN,VB NN NN,VB NN NN,JJ NN NN,JJ NN NN
2293,non interactive migration questioner,RB JJ NN NN,RB JJ NN NN,RB JJ NN NN,RB JJ NN NN,RB JJ NN NN,RB JJ NN NN
2294,operation dependency,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2295,type,NN,NN,NN,NN,NN,VB
2296,migration autodetector,VB NNP,NN NN,NN NN,NN NN,NN NN,NN NN
2297,base serializer,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
2298,base sequence serializer,JJ NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2299,base unordered sequence serializer,JJ JJ NN NN,NN JJ NN NN,NN NN NN NN,NN JJ NN NN,VB VBN NN NN,VB JJ NN NN
2300,base simple serializer,JJ JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,VB JJ NN
2301,choices serializer,NNS NN,NNS NN,VB NN,NNS NN,NNS NN,NNS NN
2302,date time serializer,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN
2303,datetime datetime serializer,NN NN NN,VB NN NN,VB NN NN,NN NN NN,VB NN NN,NN NN NN
2304,decimal serializer,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
2305,deconstructable serializer,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
2306,dictionary serializer,NN NN,JJ NN,NN NN,NN NN,VB NN,NN NN
2307,enum serializer,NN NN,NN NN,NN NN,NN NN,VB NN,NN NN
2308,float serializer,NN NN,VB NN,NN NN,VB NN,VB NN,VB NN
2309,frozen set serializer,JJ NN NN,VB NN NN,JJ VB NN,JJ NN NN,VBN NN NN,JJ VB NN
2310,function type serializer,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2311,functools partial serializer,NNS JJ NN,VB JJ NN,VB JJ NN,NNS NN NN,VBZ JJ NN,VBZ JJ NN
2312,iterable serializer,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
2313,model field serializer,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2314,model manager serializer,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2315,operation serializer,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2316,path like serializer,NN IN NN,NN IN NN,NN IN NN,NN IN NN,NN IN NN,NN IN NN
2317,path serializer,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2318,regex serializer,NNP NN,VB NN,NN NN,VB NN,VB NN,NN NN
2319,sequence serializer,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2320,set serializer,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
2321,settings reference serializer,NNS NN NN,NNS NN NN,NNS NN NN,NNS NN NN,NNS NN NN,NNS NN NN
2322,tuple serializer,NN NN,VB NN,NN NN,VB NN,JJ NN,NN NN
2323,type serializer,NN NN,NN NN,NN NN,NN NN,NN NN,VB NN
2324,uuid serializer,NNP NN,NN NN,NN NN,NNP NN,NNP NN,NN NN
2325,serializer,NN,NN,NN,NN,NN,NN
2326,swappable tuple,JJ NN,JJ NN,VB NN,JJ NN,VB NN,JJ NN
2327,regex object,NNP NN,VB NN,NN NN,VB NN,VB NN,VB NN
2328,migration optimizer,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2329,field operation,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2330,add field,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2331,remove field,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2332,alter field,VB NN,VB NN,VB NN,JJ NN,VB NN,VB NN
2333,rename field,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2334,separate database and state,VB NN CC NN,VB NN CC NN,JJ NN CC NN,VB NN CC NN,VB NN CC NN,JJ NN CC NN
2335,run sql,VB NNP,VB NN,VB NNP,VB NNP,VB NNP,VB NNP
2336,run python,VB NNP,VB NN,VB NN,VB NN,VB NN,VB NN
2337,operation category,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2338,model operation,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2339,create model,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2340,delete model,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2341,rename model,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2342,model option operation,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2343,alter model table,VB NN NN,VB NN NN,VB NN NN,NN NN NN,NN NN NN,VB NN NN
2344,alter model table comment,VB NN NN NN,VB NN NN NN,VB NN NN NN,NN NN NN NN,NN NN NN NN,VB NN NN NN
2345,alter together option operation,VB RB NN NN,VB NN NN NN,VB NN NN NN,NN NN NN NN,IN JJ NN NN,VB NN NN NN
2346,alter unique together,VB NN RB,VB JJ NN,VB JJ NN,NN JJ NN,NN JJ NN,VB JJ NN
2347,alter index together,VB NN RB,VB NN NN,VB NN NN,JJ NN NN,NN NN NN,VB NN NN
2348,alter order with respect to,VB NN IN NN TO,NN NN IN NN TO,VB NN IN NN TO,JJ NN IN NN TO,NN NN IN NN TO,VB NN IN NN TO
2349,alter model options,VB NN NNS,VB NN NNS,VB NN NNS,NN NN NNS,NN NN NNS,VB NN NNS
2350,alter model managers,VB NN NNS,VB NN NNS,VB NN NN,NN NN NNS,NN NN NNS,VB NN NNS
2351,index operation,NN NN,NN NN,VB NN,VB NN,VB NN,NN NN
2352,add index,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2353,remove index,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2354,rename index,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2355,add constraint,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2356,remove constraint,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2357,unordered object list warning,JJ NN NN NN,JJ NN NN NN,VB NN NN NN,JJ NN NN VBG,VBN NN NN NN,VBN NN NN NN
2358,invalid page,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
2359,page not an integer,NN RB DT NN,NN RB DT NN,NN RB JJ NN,NN RB IN NN,NN RB VB NN,NN RB IN NN
2360,empty page,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
2361,paginator,NN,NN,VB,NN,NN,NN
2362,page,NN,NN,NN,NN,NN,NN
2363,field does not exist,NN VBZ RB VBP,NN VBZ RB VB,NN VBZ RB VB,NN VBZ RB VB,NN VBZ RB VB,NN VBZ RB VB
2364,app registry not ready,NN NN RB JJ,VB NN RB JJ,NN NN RB JJ,VB NN RB JJ,NN NN RB VB,NN NN RB VBN
2365,object does not exist,NN VBZ RB VBP,NN VBZ RB VB,NN VBZ RB VB,NN VBZ RB VB,VB VBZ RB VB,NN VBZ RB VB
2366,multiple objects returned,JJ NNS VBN,JJ NNS VBN,JJ NNS VBN,JJ NNS VBN,JJ NNS VBN,JJ NNS VBN
2367,suspicious operation,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
2368,suspicious multipart form,JJ JJ NN,JJ JJ NN,VB NN IN,JJ NN NN,JJ NN NN,JJ NN NN
2369,suspicious file operation,JJ NN NN,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2370,disallowed host,VBN NN,VBN NN,VB NN,JJ NN,VBN NN,VBN NN
2371,disallowed redirect,VBN NN,VB NN,VB NN,VB NN,VBN NN,VBN NN
2372,too many fields sent,RB JJ NNS VBN,RB JJ NNS VBD,RB JJ NNS NN,NNP JJ NNS JJ,RB JJ NNS NN,RB JJ NNS VBN
2373,too many files sent,RB JJ NNS VBN,RB JJ NNS NN,RB JJ NNS NN,RB JJ NNS JJ,RB JJ NNS NN,RB JJ NNS VBN
2374,request data too big,VB NN RB JJ,VB NNS RB JJ,VB NNS RB JJ,VB NNS NN JJ,VB NNS RB JJ,VB NNS RB JJ
2375,request aborted,NN VBN,VB VBN,NN VBN,VB VBN,VB VBN,VB VBN
2376,bad request,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
2377,permission denied,NN VBN,NN VBD,NN NN,NN VBN,NN VBN,NN VBN
2378,view does not exist,NN VBZ RB VBP,VB VBZ RB VB,NN VBZ RB VB,VB VBZ RB VB,NN VBZ RB VB,NN VBZ RB VB
2379,middleware not used,NN RB VBN,VB RB VBN,VBZ RB VBN,VB RB VBN,VB RB VBN,NN RB VBN
2380,improperly configured,RB VBN,RB VBN,VB VBN,VB VBN,NN VBN,RB VBN
2381,field error,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2382,validation error,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2383,empty result set,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2384,full result set,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2385,synchronous only operation,JJ RB NN,VB RB NN,VB RB NN,VB RB NN,VB JJ NN,VB RB NN
2386,regex validator,NNP NN,VB NN,NN NN,VB NN,VB NN,NN NN
2387,url validator,NNP NN,NNP NN,NNP NN,NNP NN,NNP NN,NNP NN
2388,email validator,NN NN,VB NN,VB NN,NN NN,VB NN,NN NN
2389,base validator,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
2390,max value validator,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2391,min value validator,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2392,step value validator,NN NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
2393,min length validator,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2394,max length validator,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2395,decimal validator,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
2396,file extension validator,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN,NN NN NN
2397,prohibit null characters validator,VB JJ NNS NN,VB JJ NNS NN,VB JJ NNS NN,VB JJ NNS NN,VB JJ NNS NN,VB JJ NNS NN
2398,bad signature,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
2399,signature expired,NN JJ,NN VBN,NN NN,NN JJ,VB VBN,NN VBN
2400,json serializer,NNP NN,NNP NN,NNP NN,NNP NN,NNP NN,NNP NN
2401,signer,NN,NN,VB,NN,NN,NN
2402,timestamp signer,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2403,deserializer,NN,NN,NN,NN,NN,NN
2404,def used expat parser,VB JJ NN NN,VB VBN NN NN,NN VBN NN NN,VB VBN NN NN,NN VBN JJ NN,VB VBN NN NN
2405,def used xml exception,VB JJ NNP NN,VB VBN NNP NN,NN VBN NNP NN,VB VBN NNP NN,NN VBN NNP NN,VB VBN NNP NN
2406,dtd forbidden,NNP VBN,VB NN,FW NN,VB IN,FW NNS,NN VBN
2407,entities forbidden,NNS VBN,VBZ NN,NNS VBN,NNS IN,NNS NN,NNS VBN
2408,external reference forbidden,JJ NN VBN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN JJ
2409,django json encoder,NNP NNP NN,VB NNP NN,VB NNP NN,VB NNP NN,VB NNP NN,NNP NNP NN
2410,django safe dumper,NNP JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,JJ JJ NN,NN JJ NN
2411,serializer does not exist,NN VBZ RB VBP,NN VBZ RB VB,NN VBZ RB VB,NN VBZ RB VB,NN VBZ RB VB,NN VBZ RB VB
2412,serialization error,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2413,deserialization error,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2414,m 2 m deserialization error,FW CD FW NN NN,NN CD NN NN NN,NN CD NN NN NN,NN CD NN NN NN,FW CD FW NN NN,FW CD NN NN NN
2415,progress bar,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2416,deserialized object,VBN NN,VBN NN,VB NN,VB NN,VBN NN,VBN NN
2417,bad serializer,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
2418,bad header error,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2419,mime mixin,NNP NN,NN NN,NN NN,NN NN,NN NNS,NN NN
2420,safe mime message,JJ NNP NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2421,safe mime text,JJ NNP NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2422,safe mime multipart,JJ NNP NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2423,email message,NN NN,VB NN,VB NN,NN NN,VB NN,VB NN
2424,email multi alternatives,NN JJ NNS,VB JJ NNS,VB JJ NNS,NN JJ NNS,VB JJ NNS,VB JJ NNS
2425,cached dns name,VBN NNP NN,VBN NN NN,VBN NN NN,VBN NNS NN,VBN NN NN,VBN NNP NN
2426,email backend,NN NN,VB NN,VB NN,NN NN,VB NN,NN NN
2427,base email backend,JJ NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2428,wsgi server,NNP NN,VB NN,VB NN,NNP NN,VB NN,NNP NN
2429,threaded wsgi server,VBN NNP NN,VBN NNS NN,VB NN NN,CD NNP NN,VBN NNP NN,VBN NNP NN
2430,server handler,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2431,wsgi request handler,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN,NNP VB NN
2432,asgi request,NNP NN,VB NN,VB NN,VB NN,VB NN,NNP NN
2433,asgi handler,NNP NN,VB NN,VB NN,IN NN,VB NN,NNP NN
2434,limited stream,JJ NN,JJ NN,VB NN,JJ NN,VBN NN,JJ NN
2435,wsgi request,NNP NN,VB NN,VB NN,VB NN,NN NN,NNP NN
2436,wsgi handler,NNP NN,VB NN,VB NN,NNP NN,NN NN,NNP NN
2437,base handler,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
2438,uploaded file,VBN NN,JJ NN,VB NN,VBN NN,VBN NN,VBN NN
2439,temporary uploaded file,JJ VBN NN,JJ JJ NN,JJ NN NN,JJ JJ NN,JJ JJ NN,JJ VBN NN
2440,in memory uploaded file,IN NN VBN NN,IN NN JJ NN,IN NN NN NN,IN NN VBN NN,IN NN VBN NN,IN NN VBN NN
2441,simple uploaded file,JJ VBN NN,VB JJ NN,JJ NN NN,JJ VBN NN,JJ JJ NN,VB VBN NN
2442,image file,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2443,file,NN,NN,NN,NN,NN,NN
2444,content file,NN NN,NN NN,VB NN,VB NN,NN NN,NN NN
2445,temporary file,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
2446,offset,NN,VB,NN,NN,VB,VB
2447,offset union,NN NNP,VB NN,NN NN,NN NN,VB NN,VB NN
2448,overlapped,JJ,VBN,VB,VBN,VBN,VBN
2449,file proxy mixin,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2450,upload file exception,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
2451,stop upload,VB NN,VB NN,VB VB,VB NNP,VB VB,VB NN
2452,skip file,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2453,stop future handlers,VB JJ NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB JJ NNS,VB JJ NNS
2454,file upload handler,NN NN NN,NN JJ NN,NN VB NN,NN NN NN,NN NN NN,NN NN NN
2455,temporary file upload handler,JJ NN NN NN,JJ NN NN NN,JJ NN VB NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN
2456,memory file upload handler,NN NN NN NN,NN NN JJ NN,NN NN VB NN,NN NN NN NN,NN NN NN NN,NN NN NN NN
2457,timing mixin,NN NN,VBG NN,VB NN,NN NN,VBG NNS,VBG NN
2458,in memory file node,IN NN NN NN,IN NN NN NN,IN NN NN NN,IN NN NN NN,IN NN NN NN,IN NN NN NN
2459,in memory dir node,IN NN NN NN,IN NN NN NN,IN NN NN NN,IN NN NN NN,IN NN NN NN,IN NN NN NN
2460,in memory storage,IN NN NN,IN NN NN,IN NN NN,IN NN NN,IN NN NN,IN NN NN
2461,invalid storage error,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2462,storage handler,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2463,storage settings mixin,NN NNS NN,VB NNS NN,NN NNS NN,NN NNS NN,VB NNS NNS,NN NNS NN
2464,storage,NN,NN,NN,NN,VB,NN
2465,file system storage,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2466,default storage,JJ NN,NN NN,JJ NN,JJ NN,NN NN,NN NN
2467,template command,NN NN,VB NN,NN NN,NN NN,NN NN,VB NN
2468,command error,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
2469,system check error,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2470,command parser,NN NN,VB NN,NN NN,NN NN,NN NN,NN NN
2471,django help formatter,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,NNP NN NN
2472,output wrapper,NN NN,NN NN,NN NN,NN NN,VB NN,NN NN
2473,base command,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
2474,app command,NN NN,VB NN,NN NN,VB NN,NN NN,NNP NN
2475,label command,NN NN,VB NN,NN NN,JJ NN,VB NN,NN NN
2476,management utility,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2477,style,NN,NN,NN,NN,NN,NN
2478,command,NN,NN,NN,NN,NN,NN
2479,translatable file,JJ NN,JJ NN,VB NN,JJ NN,JJ NN,JJ NN
2480,build file,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2481,proxy model warning,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2482,single zip reader,JJ NNP NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2483,tags,NNS,VB,VB,NNS,NN,NNS
2484,check registry,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2485,check message,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
2486,debug,VB,VB,VB,VB,VB,NN
2487,info,NN,NN,NN,NN,NN,NN
2488,warning,NN,VBG,NN,VBG,NN,VBG
2489,critical,JJ,JJ,VB,JJ,JJ,JJ
2490,cache handler,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2491,dummy cache,JJ NN,VB NN,VB NN,VB NN,VB NN,NN NN
2492,redis serializer,NNP NN,VB NN,VB NN,VB NN,JJ NN,NN NN
2493,redis cache client,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN
2494,redis cache,NNP NN,VB NN,VB NN,VB NN,VB NN,NN NN
2495,loc mem cache,NNP NN NN,VB NN NN,VB NN NN,VB NN NN,NNP NN NN,VB NN NN
2496,file based cache,NN JJ NN,NN VBN NN,NN VBN NN,NN VBN NN,NN VBN NN,NN VBN NN
2497,invalid cache backend error,JJ NN NN NN,VB NN NN NN,JJ NN NN NN,JJ NN VB NN,JJ NN JJ NN,JJ NN NN NN
2498,cache key warning,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN JJ NN
2499,invalid cache key,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2500,base cache,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
2501,base database cache,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2502,cache entry,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2503,database cache,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2504,base mem cached cache,JJ NN VBN NN,NN NN VBN NN,NN NN VBN NN,NN NN VBN NN,VB NN VBN NN,NN NN VBN NN
2505,py lib mc cache,NNP NN NNP NN,VB NN NN NN,FW NN NN NN,VB NN NN NN,FW NN NN NN,FW NN NN NN
2506,py mem cache cache,NNP NN NN NN,VB NN NN NN,FW FW NN NN,VB NN NN NN,FW NN NN NN,FW NN NN NN
2507,static files handler mixin,JJ NNS NN NN,JJ NNS NN NN,JJ NNS NN VBN,JJ NNS NN NN,JJ NNS NN NNS,JJ NNS NN NN
2508,asgi static files handler,NNP JJ NNS NN,VB JJ NNS NN,VB JJ NNS NN,VB JJ NNS NN,VB JJ NNS NN,NNP JJ NNS NN
